customer_id,campaign_name,segment_label,rfm_segment,churn_risk_score,propensity_score,clv_tier,recommended_offer,recommended_channel,priority_score,estimated_response_rate,retention_budget
0303-WMMRN,bundle_upsell,High Value Active,Champions,0.010964803397655487,1.0,Platinum,5GB Monthly Bundle,USSD,1.0,0.35,Premium
1023-BQXZE,bundle_upsell,Price Sensitive,Hibernating,0.0038224367890506983,1.0,Platinum,1GB Daily Bundle,PUSH_NOTIFICATION,1.0,0.35,Premium
0750-EKNGL,bundle_upsell,Price Sensitive,Loyal Customers,0.0063780443742871284,1.0,Platinum,1GB Daily Bundle,USSD,1.0,0.35,Premium
0840-DCNZE,bundle_upsell,Price Sensitive,Loyal Customers,0.005988067947328091,1.0,Platinum,1GB Daily Bundle,PUSH_NOTIFICATION,1.0,0.35,Premium
5802-ADBRC,bundle_upsell,Price Sensitive,Loyal Customers,0.001854450791142881,1.0,Platinum,1GB Daily Bundle,PUSH_NOTIFICATION,1.0,0.35,Premium
3308-JSGML,bundle_upsell,High Value Active,Champions,0.002037042286247015,1.0,Platinum,5GB Monthly Bundle,USSD,1.0,0.35,Premium
4570-QHXHL,bundle_upsell,High Value Active,Champions,0.0018035732209682465,1.0,Platinum,1GB Daily Bundle,USSD,1.0,0.35,Premium
4633-MKHYU,bundle_upsell,High Value Active,Champions,0.0038134611677378416,1.0,Platinum,1GB Daily Bundle,PUSH_NOTIFICATION,1.0,0.35,Premium
5275-PMFUT,bundle_upsell,High Value Active,Champions,0.002058291109278798,1.0,Platinum,5GB Monthly Bundle,USSD,1.0,0.35,Premium
4660-IRIBM,bundle_upsell,Price Sensitive,Loyal Customers,0.007922609336674213,1.0,Platinum,1GB Daily Bundle,USSD,1.0,0.35,Premium
2985-FMWYF,bundle_upsell,High Value Active,Loyal Customers,0.002755100606009364,1.0,Platinum,5GB Monthly Bundle,USSD,1.0,0.35,Premium
2876-GZYZC,bundle_upsell,Price Sensitive,Champions,0.007134765852242708,1.0,Platinum,1GB Daily Bundle,PUSH_NOTIFICATION,1.0,0.35,Premium
2277-AXSDC,bundle_upsell,High Value Active,Champions,0.008525664918124676,1.0,Platinum,1GB Daily Bundle,USSD,1.0,0.35,Premium
