customer_id,campaign_name,segment_label,rfm_segment,churn_risk_score,propensity_score,clv_tier,recommended_offer,recommended_channel,priority_score,estimated_response_rate,retention_budget
2886-KEFUM,churn_retention,Loyal But Declining,Hibernating,0.9175740480422974,0.9175740480422974,Gold,Premium Retention Bundle,USSD,0.8587870240211487,0.35,Standard
0324-BRPCJ,churn_retention,Loyal But Declining,Loyal Customers,0.9681375622749329,0.9681375622749329,Silver,Loyalty Discount,PUSH_NOTIFICATION,0.8229576700263553,0.35,Basic
8809-RIHDD,churn_retention,Loyal But Declining,Hibernating,0.8517753481864929,0.8517753481864929,Silver,Loyalty Discount,USSD,0.7758876740932465,0.35,Basic
7632-MNYOY,churn_retention,Loyal But Declining,Hibernating,0.8809158802032471,0.8809158802032471,Silver,Loyalty Discount,PUSH_NOTIFICATION,0.7737912734349569,0.35,Basic
8276-MQBYC,churn_retention,Loyal But Declining,Loyal Customers,0.9641792178153992,0.9641792178153992,Silver,Loyalty Discount,USSD,0.7737562755743663,0.35,Basic
3763-GCZHZ,churn_retention,Loyal But Declining,Hibernating,0.8653050661087036,0.8653050661087036,Silver,Loyalty Discount,USSD,0.7659858663876852,0.35,Basic
8199-ZLLSA,churn_retention,Price Sensitive,Loyal Customers,0.8589678406715393,0.8589678406715393,Silver,Loyalty Discount,PUSH_NOTIFICATION,0.7655950314468808,0.35,Basic
5013-SBUIH,churn_retention,Loyal But Declining,Hibernating,0.8020839691162109,0.8020839691162109,Gold,Premium Retention Bundle,PUSH_NOTIFICATION,0.7649308734469944,0.35,Standard
7124-UGSUR,churn_retention,Loyal But Declining,Loyal Customers,0.8884314298629761,0.8884314298629761,Silver,Loyalty Discount,PUSH_NOTIFICATION,0.7636601593759325,0.35,Basic
8938-UMKPI,churn_retention,Dormant,Lost Customers,0.9517349600791931,0.9517349600791931,Silver,Loyalty Discount,USSD,0.7564230355951521,0.35,Basic
3594-UVONA,churn_retention,Loyal But Declining,Loyal Customers,0.8593584895133972,0.8593584895133972,Gold,Premium Retention Bundle,USSD,0.7519014669789208,0.35,Standard
6769-DYBQN,churn_retention,Dormant,Hibernating,0.7896294593811035,0.7896294593811035,Gold,Premium Retention Bundle,USSD,0.7475925074683295,0.2,Standard
3838-OZURD,churn_retention,Dormant,Lost Customers,0.9676597118377686,0.9676597118377686,Bronze,Standard Retention SMS,PUSH_NOTIFICATION,0.7421631892522176,0.35,Minimal
7207-RMRDB,churn_retention,Loyal But Declining,Lost Customers,0.9688868522644043,0.9688868522644043,Bronze,Standard Retention SMS,USSD,0.7399989816877577,0.35,Minimal
9090-SGQXL,churn_retention,Loyal But Declining,Loyal Customers,0.9504069089889526,0.9504069089889526,Bronze,Standard Retention SMS,USSD,0.7390923433833652,0.35,Minimal
0201-OAMXR,churn_retention,Loyal But Declining,Lost Customers,0.9384357929229736,0.9384357929229736,Bronze,Standard Retention SMS,PUSH_NOTIFICATION,0.7386623409059312,0.35,Minimal
6481-OGDOO,churn_retention,Price Sensitive,Hibernating,0.8028022050857544,0.8028022050857544,Silver,Loyalty Discount,PUSH_NOTIFICATION,0.7375122136539883,0.35,Basic
