customer_id,campaign_name,segment_label,rfm_segment,churn_risk_score,propensity_score,clv_tier,recommended_offer,recommended_channel,priority_score,estimated_response_rate,retention_budget
9842-EFSYY,loyalty_reward,High Value Active,Champions,0.0019345307955518365,1.0,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,1.0,0.35,Premium
4220-TINQT,loyalty_reward,High Value Active,Champions,0.0023256605491042137,0.9215257864412018,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.9215257864412018,0.35,Premium
8100-HZZLJ,loyalty_reward,High Value Active,Champions,0.002135781105607748,0.8208161167163933,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.8208161167163933,0.35,Premium
8028-PNXHQ,loyalty_reward,High Value Active,Loyal Customers,0.002065541921183467,0.8162424723388667,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.8162424723388667,0.35,Premium
1448-CYWKC,loyalty_reward,High Value Active,Champions,0.002744595054537058,0.7825721352795048,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.7825721352795048,0.2,Premium
1345-GKDZZ,loyalty_reward,High Value Active,Champions,0.0030662447679787874,0.7813152225308146,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.7813152225308146,0.2,Premium
6537-OTKMY,loyalty_reward,High Value Active,Champions,0.0018035732209682465,0.7684600991315698,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.7684600991315698,0.2,Premium
0295-QVKPB,loyalty_reward,High Value Active,Champions,0.0019297876860946417,0.7634997826251211,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.7634997826251211,0.2,Premium
6211-WWLTF,loyalty_reward,High Value Active,Loyal Customers,0.0027797669172286987,0.7583387878819412,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.7583387878819412,0.2,Premium
0993-OSGPT,loyalty_reward,High Value Active,Champions,0.0031332254875451326,0.7560540316097042,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.7560540316097042,0.2,Premium
3873-WOSBC,loyalty_reward,High Value Active,Champions,0.0022160985972732306,0.7559484533341555,Platinum,Exclusive Bundle Discount,USSD,0.7559484533341555,0.2,Premium
4395-PZMSN,loyalty_reward,Price Sensitive,Loyal Customers,0.011198990978300571,0.7403130343891174,Platinum,Exclusive Bundle Discount,USSD,0.7403130343891174,0.2,Premium
5429-LWCMV,loyalty_reward,High Value Active,Loyal Customers,0.002994865644723177,0.7333743755928233,Platinum,Exclusive Bundle Discount,USSD,0.7333743755928233,0.2,Premium
2468-SJFLM,loyalty_reward,High Value Active,Champions,0.004714255221188068,0.7219512919202271,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.7219512919202271,0.2,Premium
5448-VWNAM,loyalty_reward,High Value Active,Champions,0.002458446891978383,0.7113430085130897,Platinum,Exclusive Bundle Discount,USSD,0.7113430085130897,0.2,Premium
5562-YJQGT,loyalty_reward,High Value Active,Champions,0.002981494879350066,0.6907561139847546,Platinum,Exclusive Bundle Discount,USSD,0.6907561139847546,0.2,Premium
0654-PQKDW,loyalty_reward,High Value Active,Loyal Customers,0.0026527971494942904,0.6882062943528293,Platinum,Exclusive Bundle Discount,USSD,0.6882062943528293,0.2,Premium
2985-FMWYF,loyalty_reward,High Value Active,Loyal Customers,0.002755100606009364,0.6872817579069589,Platinum,Exclusive Bundle Discount,USSD,0.6872817579069589,0.2,Premium
9699-UBQFS,loyalty_reward,High Value Active,Loyal Customers,0.0020209806971251965,0.6826554678089536,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.6826554678089536,0.2,Premium
0479-HMSWA,loyalty_reward,High Value Active,Champions,0.00315318931825459,0.6824641335687893,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.6824641335687893,0.2,Premium
8695-ARGXZ,loyalty_reward,High Value Active,Champions,0.002041788073256612,0.6767850044650033,Platinum,Exclusive Bundle Discount,USSD,0.6767850044650033,0.2,Premium
3956-MGXOG,loyalty_reward,High Value Active,Champions,0.0024143564514815807,0.6741884546626163,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.6741884546626163,0.2,Premium
7636-OWBPG,loyalty_reward,High Value Active,Loyal Customers,0.0026837256737053394,0.6387918404775144,Platinum,Exclusive Bundle Discount,PUSH_NOTIFICATION,0.6387918404775144,0.1,Premium
