customer_id,campaign_name,segment_label,rfm_segment,churn_risk_score,propensity_score,clv_tier,recommended_offer,recommended_channel,priority_score,estimated_response_rate,retention_budget
4395-PZMSN,reactivation,Price Sensitive,Loyal Customers,0.011198990978300571,0.985,Platinum,Welcome Back: 2x data for 7 days,USSD,0.991,0.35,Premium
6980-IMXXE,reactivation,High Value Active,Hibernating,0.003078603884205222,0.995,Platinum,Welcome Back: 2x data for 7 days,USSD,0.9074212860310421,0.35,Premium
6103-QCKFX,reactivation,High Value Active,Loyal Customers,0.00380525691434741,0.94,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8965942350332594,0.35,Premium
2418-TPEUN,reactivation,Rising Stars,Hibernating,0.012831272557377815,1.0,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8660753880266074,0.35,Premium
7267-FRMJW,reactivation,Price Sensitive,Hibernating,0.0031062208581715822,0.985,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8659445676274944,0.35,Premium
3982-JGSFD,reactivation,Price Sensitive,Hibernating,0.0036872553173452616,0.99,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8600753880266074,0.35,Premium
8809-XKHMD,reactivation,High Value Active,Loyal Customers,0.003880307311192155,0.98,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8540753880266074,0.35,Premium
6283-GITPX,reactivation,High Value Active,Loyal Customers,0.0026051036547869444,0.96,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8509445676274945,0.35,Premium
2853-CWQFQ,reactivation,High Value Active,Loyal Customers,0.014062424190342426,0.965,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8459623059866962,0.35,Premium
6341-AEVKX,reactivation,Loyal But Declining,Hibernating,0.003296392736956477,1.0,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8394678492239468,0.35,Premium
4700-UBQMV,reactivation,High Value Active,Hibernating,0.0051871854811906815,0.995,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8364678492239468,0.35,Premium
4660-IRIBM,reactivation,Price Sensitive,Loyal Customers,0.007922609336674213,0.985,Platinum,Welcome Back: 2x data for 7 days,USSD,0.8304678492239468,0.35,Premium
