customer_id,SeniorCitizen,Partner,Dependents,tenure_months,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,monthly_charges,total_charges,churn_label,recharge_count_30d,recharge_count_90d,total_recharge_30d,total_recharge_90d,avg_recharge_amount,days_since_last_recharge,recharge_trend,data_usage_mb_30d,data_usage_mb_90d,data_usage_trend,avg_session_mb,app_usage_rate,offers_presented,offers_accepted,offer_acceptance_rate,active_days_90d,days_since_last_activity,gender_male,internet_dsl,internet_fiber,internet_none,contract_monthly,contract_1yr,contract_2yr,payment_method_electronic_check,payment_method_mailed_check,payment_method_bank_transfer,payment_method_credit_card,preferred_channel_ussd,preferred_channel_app,preferred_channel_agent,preferred_channel_web,MultipleLines_No phone service,MultipleLines_Yes,r_score,f_score,m_score,rfm_score,rfm_segment,arpu,arpu_tier,engagement_score,declining_recharge,long_silence,low_activity,recharge_drop_flag,high_data_user,frequent_recharger,high_offer_responder,app_user,premium_customer,lifecycle_stage,churn_risk_score,ml_segment,propensity_bundle,propensity_topup,propensity_reactivation,clv_90d,clv_tier
0002-ORFBO,No,1,1,9,1,0,1,0,1,1,0,1,65.6,593.3,0,4.0,5.0,1300.0,1800.0,360.0,1.0,-4.1160793603790395,3823.5899999999997,5190.0199999999995,18.37828404500866,1038.004,0.3125,1.0,0.0,0.0,16.0,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5,5,4,554,Champions,600.0,Silver,0.16486111111111112,0,0,1,0,1,1,0,1,0,Active,0.00441706320270896,High Value Active,0.0,1.0,0.0,1673.320817549367,Bronze
0003-MKNFE,No,0,0,9,1,0,0,0,0,0,1,0,59.9,542.4,0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,492.72,-1.981666666666663,246.36,0.14285714285714285,0.0,0.0,0.0,7.0,7.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,111,Lost Customers,0.0,Bronze,0.07396825396825396,0,1,1,0,0,0,0,0,0,Churned,0.24435965716838837,Dormant,0.0,0.0,0.0,0.0,Bronze
0004-TLHLJ,No,0,0,4,1,0,0,1,0,0,0,1,73.9,280.85,1,2.0,3.0,2900.0,4900.0,1633.3333333333333,16.0,-57.46268656716408,421.83,1300.97,-5.645802469135806,650.485,0.16666666666666666,0.0,0.0,0.0,6.0,7.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,4,4,5,445,Loyal Customers,1633.3333333333333,Gold,0.07666666666666666,1,1,1,0,0,1,0,0,1,Active,0.7017725706100464,Rising Stars,0.0,0.005,0.025,2597.312588167502,Silver
0011-IGKFF,Yes,1,0,13,1,0,1,1,0,1,1,1,98.0,1237.85,1,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,337.22,0.0,337.22,0.8,0.0,0.0,0.0,5.0,27.0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,111,Lost Customers,0.0,Bronze,0.2622222222222222,0,1,1,0,0,0,0,1,0,Churned,0.9794812202453613,Dormant,0.0,0.0,0.0,0.0,Bronze
0013-EXCHZ,Yes,1,0,3,1,0,0,0,1,1,0,1,83.9,267.4,1,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,82.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,111,Lost Customers,0.0,Bronze,0.3044444444444444,0,1,1,0,0,0,0,1,0,Churned,0.9853072166442871,Dormant,0.0,0.0,0.0,0.0,Bronze
0013-MHZWF,No,0,1,9,1,0,0,0,1,1,1,1,69.4,571.45,0,1.0,1.0,1000.0,1000.0,1000.0,3.0,0.0,1277.87,3753.95,-0.09338523355098072,625.6583333333333,0.25,1.0,0.0,0.0,8.0,3.0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,5,3,4,534,Loyal Customers,333.3333333333333,Silver,0.11055555555555555,0,0,1,0,1,0,0,0,0,Active,0.03350941836833954,Rising Stars,0.0,0.0,0.005,896.7715038588456,Bronze
0013-SMEOE,Yes,1,0,71,1,1,1,1,1,1,1,1,109.7,7904.25,0,3.0,7.0,2200.0,7200.0,1028.5714285714287,21.0,-12.164720732092135,2079.0,3636.88,2.581272811809834,363.688,0.28,3.0,0.0,0.0,25.0,3.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,5,5,355,Loyal Customers,2400.0,Platinum,0.19511111111111112,0,1,0,0,1,1,0,0,1,High Value Loyal,0.002368043875321746,High Value Active,0.0,0.03,0.975,7539.034245277563,Gold
0014-BMAQU,No,1,0,63,1,1,0,0,1,0,0,1,84.65,5377.8,0,1.0,4.0,500.0,1100.0,275.0,5.0,4.7356828193832605,236.87,236.87,0.0,236.87,0.2727272727272727,1.0,1.0,1.0,11.0,1.0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5,3,3,533,Loyal Customers,366.6666666666667,Silver,0.4307070707070707,0,0,1,0,0,0,1,0,0,Active,0.01478337962180376,Price Sensitive,0.0,0.005,0.0,1191.0699893015578,Bronze
0015-UOCOJ,Yes,0,0,7,1,1,0,0,0,0,0,1,48.2,340.35,0,0.0,4.0,0.0,400.0,100.0,46.0,-6.954190726565614e-16,0.0,1837.81,-23.7796551724138,918.905,0.4,0.0,0.0,0.0,10.0,46.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,211,Hibernating,133.33333333333334,Bronze,0.16444444444444445,0,1,1,1,0,0,0,1,0,Lapsing,0.9237985610961914,Dormant,0.0,0.0,0.005,162.46019532896835,Bronze
0016-QLJIS,No,1,1,65,1,1,1,1,1,1,1,1,90.45,5957.9,0,0.0,1.0,0.0,500.0,500.0,67.0,0.0,4046.4300000000003,4046.4300000000003,9.70518610421838,1011.6075000000001,0.5,0.0,0.0,0.0,8.0,15.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,111,Lost Customers,166.66666666666666,Bronze,0.18555555555555556,0,1,1,1,1,0,0,1,0,Churned,0.021269606426358223,Loyal But Declining,0.0,0.0,0.025,530.8277428192525,Bronze
