customer_id,rfm_score
0002-ORFBO,554
0003-MKNFE,111
0004-TLHLJ,445
0011-IGKFF,111
0013-EXCHZ,111
0013-MHZWF,534
0013-SMEOE,355
0014-BMAQU,533
0015-UOCOJ,211
0016-QLJIS,111
0017-DINOC,435
0017-IUDMW,554
0018-NYROU,545
0019-EFAEP,335
0019-GFNTW,445
0020-INWCK,434
0020-JDNXP,111
0021-IKXGC,111
0022-TCJCI,444
0023-HGHWL,111
0023-UYUPN,533
0023-XUOPT,111
0027-KWYKW,544
0030-FNXPP,334
0031-PVLZI,311
0032-PGELS,333
0036-IHMOT,435
0040-HALCW,211
0042-JVWOJ,111
0042-RLHYP,311
0048-LUMLS,433
0048-PIHNL,211
0052-DCKON,333
0052-YNYOT,544
0056-EPFBG,544
0057-QBUQH,345
0058-EVZWM,111
0060-FUALY,533
0064-SUDOG,455
0064-YIJGF,333
0067-DKWBL,111
0068-FIGTF,211
0071-NDAFP,543
0074-HDKDG,534
0076-LVEPS,433
0078-XZMHT,335
0080-EMYVY,445
0080-OROZO,333
0082-LDZUE,555
0082-OQIQY,443
0083-PIVIK,544
0089-IIQKO,111
0093-EXYQL,433
0093-XWZFY,111
0094-OIFMO,111
0096-BXERS,211
0096-FCPUF,111
0098-BOWSO,211
0100-DUVFC,534
0103-CSITQ,445
0104-PPXDV,433
0106-GHRQR,455
0106-UGRDO,211
0107-WESLM,211
0107-YHINA,311
0111-KLBQG,344
0112-QAWRZ,455
0112-QWPNC,111
0114-IGABW,334
0114-PEGZZ,211
0114-RSRRW,533
0115-TFERT,111
0117-LFRMW,111
0118-JPNOY,211
0121-SNYRK,555
0122-OAHPZ,333
0123-CRBRT,111
0125-LZQXK,533
0128-MKWSG,433
0129-KPTWJ,534
0129-QMPDR,111
0130-SXOUN,111
0133-BMFZO,333
0134-XWXCE,211
0135-NMXAP,435
0136-IFMYD,445
0137-OCGAB,211
0137-UDEUO,211
0139-IVFJG,433
0141-YEAYS,335
0142-GVYSN,211
0147-ESWWR,211
0148-DCDOS,111
0151-ONTOV,211
0156-FVPTA,211
0164-APGRB,445
0164-XAIRP,443
0168-XZKBB,433
0174-QRVVY,311
0177-PXBAT,555
0178-CIIKR,111
0178-SZBHO,434
0181-RITDD,544
0186-CAERR,211
0187-QSXOE,111
0187-WZNAB,534
0188-GWFLE,334
0191-EQUUH,555
0191-ZHSKZ,445
0193-ESZXP,111
0195-IESCP,533
0196-JTUQI,211
0196-VULGZ,211
0197-PNKNK,533
0201-MIBOL,435
0201-OAMXR,111
0203-HHYIJ,211
0206-OYVOC,555
0206-TBWLC,533
0207-MDKNV,111
0208-BPQEJ,445
0212-ISBBF,335
0214-JHPFW,554
0215-BQKGS,434
0218-QNVAS,445
0219-QAERP,335
0219-YTZUE,333
0220-EBGCE,311
0221-NAUXK,435
0221-WMXNQ,534
0222-CNVPT,544
0224-HJAPT,111
0224-NIJLP,111
0224-RLWWD,333
0225-ZORZP,535
0228-MAUWC,211
0229-LFJAF,533
0230-UBYPQ,111
0230-WEQUW,543
0231-LXVAP,211
0233-FTHAV,211
0234-TEVTT,455
0235-KGSLC,211
0236-HFWSV,111
0237-YFUTL,535
0238-WHBIQ,311
0239-OXEXL,111
0244-LGNFY,333
0247-SLUJI,454
0248-IPDFW,211
0248-PGHBZ,534
0253-ZTEOB,111
0254-FNMCI,545
0254-KCJGT,335
0254-WWRKD,211
0256-LTHVJ,111
0257-KXZGU,555
0257-ZESQC,111
0258-NOKBL,111
0259-GBZSH,111
0260-ZDLGK,211
0263-FJTQO,211
0264-CNITK,211
0265-EDXBD,111
0265-PSUAE,111
0266-CLZKZ,545
0266-GMEAO,211
0268-QKIWO,111
0269-XFESX,211
0270-THENM,333
0274-JKUJR,433
0277-BKSQP,211
0277-ORXQS,334
0278-YXOOG,111
0280-XJGEX,211
0281-CNTZX,311
0282-NVSJS,211
0285-INHLN,445
0289-IVARM,434
0292-WEGCH,211
0295-PPHDO,111
0295-QVKPB,555
0297-RBCSG,211
0298-XACET,433
