customer_id,event_date,event_type,recharge_amount,data_mb_used,call_duration_minutes,channel,offer_presented,offer_accepted
0002-ORFBO,2024-01-09,CALL,,,6.8,USSD,,False
0002-ORFBO,2024-01-15,DATA_SESSION,,627.77,,USSD,,False
0002-ORFBO,2024-02-13,RECHARGE,500.0,,,AGENT,WEEKEND_DATA,False
0002-ORFBO,2024-02-17,DATA_SESSION,,738.66,,APP,,False
0002-ORFBO,2024-02-28,CALL,,,5.4,USSD,,False
0002-ORFBO,2024-03-03,CALL,,,2.6,USSD,,False
0002-ORFBO,2024-03-06,DATA_SESSION,,958.88,,USSD,,False
0002-ORFBO,2024-03-08,DATA_SESSION,,384.72,,USSD,,False
0002-ORFBO,2024-03-11,SMS,,,,USSD,,False
0002-ORFBO,2024-03-14,RECHARGE,200.0,,,AGENT,,False
0002-ORFBO,2024-03-23,RECHARGE,500.0,,,APP,,False
0002-ORFBO,2024-03-24,DATA_SESSION,,2479.99,,APP,,False
0002-ORFBO,2024-03-25,RECHARGE,500.0,,,APP,,False
0002-ORFBO,2024-03-29,CALL,,,0.7,USSD,,False
0002-ORFBO,2024-03-30,RECHARGE,100.0,,,USSD,,False
0002-ORFBO,2024-03-31,CALL,,,4.2,APP,,False
0003-MKNFE,2024-01-07,SMS,,,,USSD,,False
0003-MKNFE,2024-01-14,DATA_SESSION,,270.14,,USSD,,False
0003-MKNFE,2024-01-26,CALL,,,31.7,USSD,,False
0003-MKNFE,2024-02-03,CALL,,,21.3,WEB,,False
0003-MKNFE,2024-02-07,DATA_SESSION,,222.58,,USSD,,False
0003-MKNFE,2024-03-21,CALL,,,1.6,APP,,False
0003-MKNFE,2024-03-24,CALL,,,1.2,USSD,,False
0004-TLHLJ,2024-01-03,DATA_SESSION,,879.14,,USSD,,False
0004-TLHLJ,2024-02-28,RECHARGE,2000.0,,,APP,,False
0004-TLHLJ,2024-03-04,RECHARGE,1800.0,,,AGENT,,False
0004-TLHLJ,2024-03-09,CALL,,,2.4,USSD,,False
0004-TLHLJ,2024-03-15,RECHARGE,1100.0,,,USSD,,False
0004-TLHLJ,2024-03-24,DATA_SESSION,,421.83,,USSD,,False
